####################################################################################################################
#                               |                       |                          |                               #
#                               |                       |                          |                               #
#                               |                       |                          |                               #
#                               |                       |                          |                               #
#                               ]                       ]                          |                               #
#                               |                       |                          |                               #
]                               |                       |                          |                               #
]                               |-----------------------|                          ]                               #
]                               |                       |                          |                               #
#                               |                       |                          |                               #
#                               ]                       ]                          |                               #
#                               |                       |                          |                               #
#                               |                       |                          |                               #
#                               |                       |                          |                               #
#-------------------------------|-----------------------|-------------]------------|-------------------------------#
#                               |                                                  |                               #
#                               |                                                  |                               #
#                               |                                                  |                               #
#                               |                                                  ]                               #
#                               ]                                                  |                               #
#                               |                                                  |                               #
#                               |                                                  |                               #
#-------------------------------|--------------------------------------------------|                               #
#                               |                         |                        |                               #
#                               |                         |                        |                               #
#                               |                         ]                        |                               #
#                               |                         |                        |                               #
#                               |                         |                        |                               #
#                               |                         |                        |                               #
#                               |                         |-----------]------------|                               E
#                               |                         |                                                        E
#                               |                         |                                                        #
#                               ]                         |                                                        #
#                               |                         |                                                        #
#                               |                         |                                                        #
#--------------]--------------------------------]------------------------------------------------------------------#
#                                  |                             |                |                                #
#                                  |                             |                ]                                #
#                                  |                             ]                |                                #
#                                  |                             |                |                                #
#                                  |----------------------------------------------|                                # 
#                                  |                             |                |                                #
#                                  |                             |                |                                #
#                                  |                             |                ]                                # 
#                                  |                             |                |                                #
#                                  |                             |                |                                #
#                                  |                             |                |                                #
#                                  |                             ]                |                                #
#                                  |                             |                |                                #
####################################################################################################################
