####################################################################################################################
#                               |                       |                          |                               #
#                               |                       |                          |                               #
#                               |                       |                          |                               #
#                               |                       |                          |                               #
#                               ]                       ]                          |                               #
#                               |                       |                          |                               #
]                               |                       |                          |                               #
]                               |-----------------------|                          ]                               #
]                               |                       |                          |                               #
#                               |                       |                          |                               #
#                               ]                       ]                          |                               #
#                               |                       |                          |                               #
#                               |                       |                          |                               #
#                               |                       |                          |                               #
#-------------------------------|-----------------------|-------------]------------|-------------------------------#
#                               |                                                  |                               #
#                               |                                                  |                               #
#                               |                                                  |                               #
#                               |                                                  ]                               #
#                               ]                                                  |                               #
#                               |                                                  |                               #
#                               |                                                  |                               #
#-------------------------------|--------------------------------------------------|                               #
#                               |                         |                        |                               #
#                               |                         |                        |                               #
#                               |                         ]                        |                               #
#                               |                         |                        |                               #
#                               |                         |                        |                               #
#                               |                         |                        |                               #
#                               |                         |-----------]------------|                               E
#                               |                         |                                                        E
#                               |                         |                                                        #
#                               ]                         |                                                        #
#                               |                         |                                                        #
#                               |                         |                                                        #
####################################################################################################################

